City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,belmonte,BR,75.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
424,port macquarie,AU,77.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
426,bongor,TD,71.91,clear sky,10.2806,15.3722,Complexe le Confort
427,bambanglipuro,ID,86.32,light rain,-7.95,110.2833,Puri Brata
428,quelimane,MZ,87.8,few clouds,-17.8786,36.8883,Hotel Flamingo
430,sao carlos,BR,65.98,overcast clouds,-22.0175,-47.8908,Central Park Hotel - São Carlos
431,benalla,AU,80.6,clear sky,-36.55,145.9833,Rose City Motor Inn
432,san quintin,MX,61.54,clear sky,30.4833,-115.95,Old Mill Hotel
433,codrington,AU,60.58,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
436,puerto del rosario,ES,62.6,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
437,sonoita,MX,57.99,overcast clouds,31.85,-112.8333,Hotel Nora
438,nishihara,JP,60.8,broken clouds,26.1842,127.7558,Minshuku Agaihama
439,salinas,US,51.8,fog,36.6777,-121.6555,Good Nite Inn Salinas Monterey
440,marawi,PH,81.0,overcast clouds,7.9986,124.2928,Derogongan Residence
447,maldonado,UY,69.8,moderate rain,-34.6667,-54.9167,La Cimarrona
448,manacapuru,BR,73.4,fog,-3.2997,-60.6206,Novo Hotel
449,merauke,ID,85.89,few clouds,-8.4667,140.3333,
450,felanitx,ES,53.6,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
453,ondjiva,AO,71.6,few clouds,-17.0667,15.7333,SOS Motel
457,vila do maio,CV,69.8,scattered clouds,15.1333,-23.2167,Residence 'I Delfini'
460,saldanha,ZA,64.4,clear sky,-33.0117,17.9442,Blue Bay Lodge
461,parauna,BR,67.28,light rain,-16.9478,-50.4486,Hotel Serras de Paraúna
462,lambarene,GA,77.72,overcast clouds,-0.7001,10.2406,Le Refuge
463,araouane,ML,56.3,overcast clouds,18.9048,-3.5265,
464,dhidhdhoo,MV,81.91,clear sky,6.8833,73.1,Dhidhoo beach
465,namwala,ZM,72.18,light rain,-15.7504,26.4384,Corner Point Lodge
467,najran,SA,64.4,clear sky,17.4924,44.1277,محمد هادي ال فطيح
468,antofagasta,CL,62.6,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
470,tiznit,MA,51.28,clear sky,29.5833,-9.5,
472,ko samui,TH,86.0,few clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
473,iralaya,HN,76.01,overcast clouds,15.0,-83.2333,Iglesia morava renovada
474,charters towers,AU,87.94,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
475,taoudenni,ML,52.79,overcast clouds,22.6783,-3.9836,
477,labuan,MY,73.4,heavy intensity rain,5.2767,115.2417,Tiara Labuan Hotel
479,santa marta,CO,82.0,clear sky,11.2408,-74.199,Hotel La Ballena Azul
480,puerto carreno,CO,76.41,broken clouds,6.189,-67.4859,Casa Hotel Victoria
481,constitucion,CL,56.66,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
482,ambilobe,MG,89.2,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
488,sahuaripa,MX,56.79,clear sky,29.05,-109.2333,Hotel El Molino
